,index,i,j,elevation,distance,time,origin_x,origin_y,dest_x,dest_y
1894,124046,21,11,4,4271.6,514.9,-46.7513,-23.5564,-46.7363,-23.5564
1895,124102,18,15,4,2879.3,344.7,-46.7513,-23.5564,-46.7513,-23.571399999999997
1896,124103,20,11,4,3049.2,389.7,-46.7513,-23.571399999999997,-46.7513,-23.5564
1897,124186,19,13,4,3715.7,324.8,-46.7213,-23.541399999999996,-46.7513,-23.5564
1898,124190,19,12,4,3715.7,324.8,-46.7213,-23.541399999999996,-46.7513,-23.5564
1899,124210,18,12,4,5022.3,481.1,-46.7513,-23.5564,-46.7213,-23.541399999999996
1900,124211,20,12,4,5025.8,422.8,-46.7213,-23.541399999999996,-46.7513,-23.5564
1901,124213,20,12,4,7284.1,561.6,-46.7363,-23.511399999999995,-46.7513,-23.5564
1902,124227,19,14,4,1051.2,166.3,-46.7663,-23.5564,-46.7513,-23.5564
1903,124231,20,12,4,8376.9,748.2,-46.7513,-23.5564,-46.691300000000005,-23.5564
1904,124234,22,12,4,8788.6,755.6,-46.691300000000005,-23.5564,-46.7513,-23.5564
1905,124264,19,12,4,4490.4,420.6,-46.781299999999995,-23.526399999999995,-46.7513,-23.5414
1906,124289,19,16,4,7086.7,590.3,-46.7513,-23.5414,-46.7213,-23.5714
1907,124292,19,12,4,5339.6,481.3,-46.7213,-23.556399999999996,-46.7513,-23.5564
1908,124384,21,12,4,7224.9,775.0,-46.7363,-23.5564,-46.691300000000005,-23.5864
1909,124410,20,14,4,7338.6,685.9,-46.7513,-23.5564,-46.691300000000005,-23.5564
1910,124413,19,12,4,7789.8,694.4,-46.691300000000005,-23.5564,-46.7513,-23.5564
1911,124423,19,16,4,6664.6,630.0,-46.7513,-23.5564,-46.706300000000006,-23.526399999999995
1912,124469,19,16,4,8150.1,574.3,-46.7363,-23.5414,-46.7363,-23.5414
1913,124470,19,12,4,7190.5,583.1,-46.7363,-23.5414,-46.7363,-23.5414
1914,124481,19,15,4,7105.6,692.9,-46.7363,-23.5414,-46.706300000000006,-23.526399999999995
1915,124604,20,13,4,5207.9,603.7,-46.7363,-23.5414,-46.7663,-23.571399999999997
1916,124629,20,13,4,5553.3,496.4,-46.7363,-23.526399999999995,-46.7513,-23.5414
1917,124709,20,15,4,4777.7,436.5,-46.7363,-23.526399999999995,-46.7513,-23.5414
1918,124773,20,11,4,4852.6,611.5,-46.706300000000006,-23.571399999999997,-46.7363,-23.5564
1919,124774,21,12,4,5247.3,582.1,-46.7363,-23.5564,-46.706300000000006,-23.571399999999997
