NomeZona,media
Guarapiranga,16.361999953727153
Vila Buarque,16.37458035845425
Vila Formosa,16.38598458760598
Santa Terezinha,16.397994717929087
Vila Curuca,16.45324503023816
Mar Paulista,16.499505431084284
Fazenda Itaim,16.579962344451292
Vila Sao Pedro,16.61431893005551
Parque Fernanda,16.64723687620278
Mandaqui,16.75108594701085
Chacara Klabin,16.755435322336528
Parque Sao Lucas,16.78262582661826
Jardim Caxingui,16.874454680809954
Real Parque,16.881970630013438
Jaguare,16.884178066853043
Vila Missionaria,16.93342380109171
Sao Mateus,16.943002874992636
Parque Cruzeiro do Sul,16.989484458055127
Sitio Carraozinho,17.027217095114164
Raposo Tavares,17.069723667069038
Cidade Vargas,17.09327278092342
Cardoso de Almeida,17.23745682943282
Vila Carrao,17.284828351228555
Jardim da Saude,17.304145345026797
Jardim Ester Yolanda,17.434846862999883
Gomes Cardim,17.44157665699307
Jardim Sao Paulo,17.47552415923484
Vieira de Moraes,17.51654705675287
Jardim Japao,17.58246272267662
Vila Sao Jose,17.6075759600869
Jaceguava,17.644092447117217
Lajeado,17.688121660650346
Cachoeirinha,17.715777363065985
Horto Florestal,17.71833717859312
Vila Gumercindo,17.71964962913575
Rodolfo Pirani,17.755130938547875
Borore,17.759710147788915
Chacara Flora,17.85243605475135
Estacao Eng. Goulart,17.89795604282242
Tucuruvi,17.913960219054463
Pirajussara,17.991045568776386
Agua Funda,17.99179254948379
Jardim Bonfiglioli,18.011406646802364
Itaim Paulista,18.07871261429149
Jardim Umarizal,18.08103253063103
Pompeia,18.120288906114062
Cangaiba,18.130910026134085
Cidade Tiradentes,18.136023335932403
Praca Joao Mendes,18.136644197640084
Rio Pequeno,18.182458738768005
Vila Campanela,18.198088085899936
Parque Peruche,18.52840039551627
Parque Arariba,18.574057088110298
Jardim Bom Clima,18.647705083928443
Jardim Miriam,18.779037196120537
Guaianases,18.785658311279747
Vila Carmosina,18.835205160068558
Jardim Mitsutani,18.86024927017215
Artur Alvim,18.86980365906276
Pirituba,18.87548734218272
Morumbi,18.954923751846348
Ermelino Matarazzo,19.012255166402053
Vila Zelina,19.017526580782047
Pacaembu,19.082181393148296
Saude,19.121520309402335
Jardim da Gloria,19.24704734590978
PUC,19.2878234306712
Cohab Jova Rural,19.291733669835555
Jardim Angela,19.321675775677672
Jardim Cambara,19.405780809506314
Jardim Robru,19.40678777365706
Parque Santa Madalena,19.574208134901994
Bosque da Saude,19.63391905620383
Paraiso,19.721246263346845
Alto da Lapa,19.768650948141982
Santa Marcelina,19.84603926663224
Adventista,19.883872886363548
Jardim Adalgiza,19.888604566976166
Portal do Morumbi,19.968426897090502
Sumare,19.981760096715707
Juscelino Kubitschek,20.099599491756972
Jardim Capela,20.296493077078548
Vila Isolina Mazzei,20.485766289505268
Marsilac,20.489845494143438
Cidade Universitaria,20.541759136466528
Fabrica Bandeirantes,20.548873812793495
FAAP,20.624400479398755
Jardim Sao Luis,20.69256858345891
Vila Souza,20.926603794086443
Joquei Clube,20.99088377790064
Vila Madalena,21.02015636291508
Pedreira,21.216062564857562
Cidade Satelite,21.25539074485558
Alfredo Pujol,21.339107863212288
Jardim Maria do Carmo,21.40487329644834
Morro do Indio,21.473830127975596
Cidade Lider,21.49417540363915
Pires da Mota,21.49581762665927
Vila Anglo Brasileira,21.572957489160245
Ana Rosa,21.582243659159232
Masp,21.87457485693441
Boacava,22.006632631084788
Parelheiros,22.062975818891918
Jardim Turquesa,22.359569816621974
Vila Beatriz,22.54080903078189
Jardim Guapira,22.710776497319344
Perdizes,22.78147311803888
Sao Miguel Paulista,22.808009526616203
Clinicas,22.952040858028447
Gleba do Pessego,23.070986440277874
Santa Cruz,23.30541371142496
Jardim das Pedras,23.394994667194396
Jardim Vitoria Regia,23.530572794773143
Paraisopolis,23.860575348713514
Fazenda Morumbi,23.933638389241384
Santa Etelvina,24.18327673562425
Anhanguera,24.192464479621023
Jardim Peri,24.312178229212115
Jardim Damasceno,25.049391741146373
Fazenda Caguacu,25.54717993222793
Centro Empresarial,25.601909514776306
Parque Sao Rafael,25.744470969710342
Tremembe,25.78513518383015
Vila Morro Grande,26.810659169592416
Iguatemi,26.94010394419895
Terceira Divisao,27.27631630713575
Vila Suzana,27.61388578420101
Vila Zatt,27.9864254340716
Parque do Carmo,28.079776629413725
Vila Cardoso Franco,28.388434763657195
Nova Jaragua,28.685813375256128
