,NomeDistri,densidade_area,FE_VIA,area,Populacao,densidade_pop
0,Agua Rasa,5049.033503060166,43071.46886199997,8.530636375435973,78.556,548.2899951881457
1,Alto de Pinheiros,4035.9493085209674,36162.261033,8.960038461496978,39.477,916.0336660080554
2,Anhanguera,615.5077775164765,24474.766244000028,39.7635369332841,53.266,459.4819630533554
3,Aricanduva,5376.624451006033,44024.33386400004,8.188099106636049,92.982,473.47157368092786
4,Artur Alvim,7703.501543257131,59992.191065,7.787652242052332,104.864,572.0952001163412
5,Barra Funda,23758.68131340367,167058.8366690001,7.031486068831286,12.977,12873.45585797951
6,Bela Vista,54383.998731974316,179507.82182599988,3.3007470213929073,57.204,3138.0291907209266
7,Belem,11152.593004964241,81597.04027299996,7.316418723132773,36.283,2248.905555576991
8,Bom Retiro,14074.668535468456,71717.55736900003,5.095505957264308,28.591,2508.396256479313
9,Bras,24547.29261502901,106738.389542,4.348275437782891,26.587,4014.6834747056832
10,Brasilandia,5217.447576527159,130859.81655799987,25.081194327035842,280.069,467.24134608971315
11,Butanta,5603.7887242452825,86361.11365699994,15.411200869039016,48.04,1797.6917913613643
12,Cachoeirinha,4653.776151044925,75315.70832099997,16.183784066212365,157.408,478.4744633119027
13,Cambuci,9489.838670291665,44625.00254099999,4.702398438099945,29.811,1496.9307484150142
14,Campo Belo,5378.464158618104,56920.62506499995,10.583063005782796,62.53,910.293060371021
15,Campo Grande,6137.864000065257,95503.60852099999,15.559746602398588,96.756,987.0561879470006
16,Campo Limpo,7631.756689004776,114918.46577299989,15.057931018498692,216.098,531.788659649788
17,Cangaiba,3556.9910612294634,58462.688031999955,16.43599520651944,151.538,385.7955630402932
18,Capao Redondo,10107.863460260985,166949.15195800053,16.516759710334462,275.23,606.5805034262272
19,Carrao,5815.537928415339,54125.80150299999,9.30710145290869,71.363,758.457485013242
20,Casa Verde,6505.901263510893,55612.149625000005,8.547954752542472,75.687,734.7648820140844
21,Cidade Ademar,8345.277414714887,122283.32181099997,14.652996627216107,248.215,492.6508140563623
22,Cidade Dutra,3730.6628591108706,123966.95352899993,33.22920301582679,203.473,609.255053638566
23,Cidade Lider,5466.003061841287,69000.789872,12.623628104730017,130.255,529.7362087597405
24,Cidade Tiradentes,7447.017841752705,132847.29040499983,17.838991825717628,219.868,604.2138483317256
25,Consolacao,33279.92985520373,150639.5037560002,4.526436936959044,44.991,3348.2141707452647
26,Cursino,4261.405198778545,61455.77044700002,14.421480141014332,92.895,661.5616604445881
27,Ermelino Matarazzo,4848.282039138758,54508.73739799999,11.242897372299499,116.632,467.3566208073255
28,Freguesia do O,5556.127950401399,73244.5047999999,13.182652641163239,138.101,530.3691124611689
29,Grajau,1763.8707531130544,195916.6309999998,111.07198793008311,444.593,440.66512743115567
30,Guaianases,5402.73258224313,57430.459651999976,10.629891222222172,111.325,515.8810658163034
31,Iguatemi,3378.1630555263264,78750.06103599996,23.311503838505658,126.645,621.8173716767338
32,Ipiranga,9885.128085002365,130380.81602299993,13.18959298269616,94.787,1375.513688828636
33,Itaim Bibi,17390.73768617619,208696.03373699993,12.000412949871087,80.501,2592.4651089675895
34,Itaim Paulista,6955.052292106076,101507.67731300002,14.594811519707818,241.026,421.148246716122
35,Itaquera,7808.740578138504,137177.70433799998,17.567199597082947,199.824,686.4926352089838
36,Jabaquara,9675.45356225398,162708.95452900007,16.816674637741283,212.504,765.6747850816929
37,Jacana,5493.072751068997,49118.498078000004,8.941898333394755,92.836,529.0889103149641
38,Jaguara,3772.3184043974757,20430.03392700001,5.4157766489658625,24.114,847.2270849713864
39,Jaguare,5059.045534758042,39626.58018799999,7.832817458500145,41.628,951.9213074853462
40,Jaragua,3640.0201057406593,122241.93717400015,33.58276427682719,220.292,554.9086538503448
41,Jardim Angela,3918.0279538995537,172504.76491599967,44.02846711297919,291.798,591.1787089561946
42,Jardim Helena,4055.6547621323443,44236.95261300006,10.90747492267847,153.634,287.93725746254125
43,Jardim Paulista,26690.646095670796,199544.587055,7.476199202512599,76.033,2624.4471092157355
44,Jardim Sao Luis,5356.609506956172,166249.27710600005,31.03628832568555,261.586,635.5434813254534
45,Jose Bonifacio,3919.7265250134587,67572.95516499996,17.239201442699613,108.366,623.5623273443697
46,Lajeado,6969.649966488202,74155.000388,10.639702243951353,185.184,400.43956490841543
47,Lapa,11528.987379936842,141564.90937800004,12.279041056490042,58.924,2402.4999894440302
48,Liberdade,33163.48582760389,144175.99744599996,4.347431937507424,57.86,2491.8077678188724
49,Limao,6564.139258037942,50260.73030599999,7.656865329975221,80.571,623.8067084434846
50,Mandaqui,3804.719131838857,59967.84974199999,15.761439324173441,101.994,587.9546810792791
51,Marsilac,17.074466199313896,4260.18268,249.50605367511793,10.18,418.4855284872299
