,NomeDistri,densidade_area,FE_VIA,area,Populacao,densidade_pop
0,Agua Rasa,581.1074865732575,4957.216663000002,8.530636375435973,78556.0,0.06310423981618211
1,Alto de Pinheiros,250.93093681032724,2248.350845,8.960038461496978,39477.0,0.05695343731793196
2,Anhanguera,15.212519424892127,604.9035779999999,39.7635369332841,53266.0,0.011356279390230165
3,Aricanduva,518.2947919573387,4243.849123000002,8.188099106636049,92982.0,0.04564162013077802
4,Artur Alvim,2274.4346716401533,17712.50627,7.787652242052332,104864.0,0.168909313682484
5,Barra Funda,350.6355625063186,2465.4890730000006,7.031486068831286,12977.0,0.18998914024813135
6,Bela Vista,2461.385734606075,8124.411631999995,3.3007470213929073,57204.0,0.14202523655688404
7,Belem,860.5973671370112,6296.490689999998,7.316418723132773,36283.0,0.1735383151889314
8,Bom Retiro,652.7977405772388,3326.3347760000006,5.095505957264308,28591.0,0.11634202287433111
9,Bras,820.9566452442003,3569.745615999999,4.348275437782891,26587.0,0.13426658201376607
10,Brasilandia,307.8741881392929,7721.852341,25.081194327035842,280069.0,0.02757124973131621
11,Butanta,377.72042402578734,5821.125327,15.411200869039016,48040.0,0.12117246725645295
12,Cachoeirinha,483.9982458956034,7832.923100000001,16.183784066212365,157408.0,0.049761912355153495
13,Cambuci,369.562095997588,1737.828223,4.702398438099945,29811.0,0.05829486508335849
14,Campo Belo,105.44859162136825,1115.969089,10.583063005782796,62530.0,0.0178469388933312
15,Campo Grande,276.28146362854744,4298.869565,15.559746602398588,96756.0,0.04443000501260903
16,Campo Limpo,927.1519690088168,13960.990393,15.057931018498692,216098.0,0.06460490329850346
17,Cangaiba,736.9517474789408,12112.535388999995,16.43599520651944,151538.0,0.07993068002085282
18,Capao Redondo,1430.24938639866,23623.08544099997,16.516759710334462,275230.0,0.08583034349816507
19,Carrao,651.9888137787052,6068.126036000001,9.30710145290869,71363.0,0.08503182371817329
20,Casa Verde,807.5087983996327,6902.548671000001,8.547954752542472,75687.0,0.09119860307582546
21,Cidade Ademar,905.402576791594,13266.860904,14.652996627216107,248215.0,0.053449069975625964
22,Cidade Dutra,196.37527538328288,6525.393893,33.22920301582679,203473.0,0.03207007265337416
23,Cidade Lider,910.6467538197383,11495.665955000004,12.623628104730017,130255.0,0.08825508391232585
24,Cidade Tiradentes,1301.0695079494108,23209.768316999995,17.838991825717628,219868.0,0.10556228426601413
25,Consolacao,2020.0955275305428,9143.835012000014,4.526436936959044,44991.0,0.20323698099619955
26,Cursino,646.4391943020279,9322.610003,14.421480141014332,92895.0,0.10035642395177351
27,Ermelino Matarazzo,1039.6301869479196,11688.455497,11.242897372299499,116632.0,0.1002165400318952
28,Freguesia do O,193.90881536376713,2556.232557,13.182652641163239,138101.0,0.01850987724201852
29,Grajau,130.22286296977757,14464.112264,111.07198793008311,444593.0,0.03253337831229911
30,Guaianases,1104.9280423910734,11745.264899,10.629891222222172,111325.0,0.1055042883359533
31,Iguatemi,364.90689013160187,8506.52837,23.311503838505658,126645.0,0.06716829223419796
32,Ipiranga,899.207565052215,11860.181789999997,13.18959298269616,94787.0,0.1251245612795003
33,Itaim Bibi,144.96894042456165,1739.6871499999997,12.000412949871087,80501.0,0.021610752040347323
34,Itaim Paulista,1378.4780463819761,20118.627270999994,14.594811519707818,241026.0,0.08347077606150372
35,Itaquera,1423.1687274818387,25001.089096000007,17.567199597082947,199824.0,0.12511554716150217
36,Jabaquara,1681.0481768229663,28269.64024,16.816674637741283,212504.0,0.13303109701464444
37,Jacana,606.7150330639411,5425.184142999999,8.941898333394755,92836.0,0.058438365967943454
38,Jaguara,94.4153119936433,511.33224199999995,5.4157766489658625,24114.0,0.021204787343451936
39,Jaguare,151.72456619812058,1188.430831,7.832817458500145,41628.0,0.028548833261266452
40,Jaragua,301.99976870272656,10141.987044,33.58276427682719,220292.0,0.046038835018974815
41,Jardim Angela,269.71620630188374,11875.191119000001,44.02846711297919,291798.0,0.04069661587468043
42,Jardim Helena,783.2135181203043,8542.881807999998,10.90747492267847,153634.0,0.055605411614616546
43,Jardim Paulista,1217.039759178977,9098.831676999993,7.476199202512599,76033.0,0.11966950767429922
44,Jardim Sao Luis,285.4283075682287,8858.635250000001,31.03628832568555,261586.0,0.03386509694708433
45,Jose Bonifacio,999.3661165956014,17228.273799000002,17.239201442699613,108366.0,0.15898228041082998
46,Lajeado,1748.2808126115308,18601.187285,10.639702243951353,185184.0,0.10044705420014688
47,Lapa,273.5439279457974,3358.857122,12.279041056490042,58924.0,0.05700320959201683
48,Liberdade,2686.1196526737012,11677.722365999998,4.347431937507424,57860.0,0.2018272099204977
49,Limao,597.9074606520231,4578.096906,7.656865329975221,80571.0,0.05682065390773355
50,Mandaqui,474.53478043270223,7479.351149000003,15.761439324173441,101994.0,0.07333128565405811
51,Marsilac,1.191199999447707,297.211611,249.50605367511793,10180.0,0.029195639587426325
52,Moema,250.50871964659947,2728.6925699999997,10.892605151028084,71459.0,0.03818542898725143
53,Mooca,775.899589747738,7357.128364000001,9.482062448817592,63133.0,0.1165337995026373
54,Morumbi,151.20531591366063,2073.3116160000004,13.711896327665338,32281.0,0.06422699470276634
55,Parelheiros,17.172364557682325,3122.423711,181.82840810953638,146212.0,0.02135545448390009
56,Pari,239.66396933535827,779.024281,3.250485599318113,16144.0,0.04825472503716551
57,Parque do Carmo,370.91732221589393,6907.271847000002,18.62213337930763,69630.0,0.09919965312365363
58,Pedreira,303.78658297754373,6724.071391,22.134194753087733,158656.0,0.0423814503769161
59,Penha,1364.0643047754434,18631.803818,13.659036273269557,117691.0,0.15831120321859785
60,Perdizes,987.1264371920678,7451.846348000005,7.549029250191259,97706.0,0.07626805260680004
61,Perus,170.23171074744474,4799.839889999999,28.195921129647974,85002.0,0.05646737594409543
62,Pinheiros,815.0456393202857,8059.772612999993,9.88873778862434,61711.0,0.13060512085365644
