,NomeDistri,densidade_area,FE_VIA,area,Populacao,densidade_pop,DISTANCE
0,Agua Rasa,,,8.530636375435973,78556.0,,
1,Alto de Pinheiros,36.79682999317348,329.701012,8.960038461496978,39477.0,0.008351724092509562,5.469860224787011
2,Anhanguera,29.491367655939236,1172.681087,39.7635369332841,53266.0,0.02201556503210303,13.802820473748492
3,Aricanduva,,,8.188099106636049,92982.0,,
4,Artur Alvim,57.398130284538745,446.99667800000003,7.787652242052332,104864.0,0.004262632342844065,16.178235912568233
5,Barra Funda,155.54023862011036,1093.679021,7.031486068831286,12977.0,0.08427826315789473,16.336913541585435
6,Bela Vista,14.16710844452009,46.762040999999996,3.3007470213929073,57204.0,0.000817461034193413,21.31856274219101
7,Belem,,,7.316418723132773,36283.0,,
8,Bom Retiro,56.6591038105668,288.706801,5.095505957264308,28591.0,0.010097821027596095,24.9115907124037
9,Bras,23.617243541582546,102.69428,4.348275437782891,26587.0,0.0038625749426411406,4.157853810928628
10,Brasilandia,,,25.081194327035842,280069.0,,
11,Butanta,126.2531955513553,1945.7133569999996,15.411200869039016,48040.0,0.04050194331806827,5.501086099679102
12,Cachoeirinha,,,16.183784066212365,157408.0,,
13,Cambuci,,,4.702398438099945,29811.0,,
14,Campo Belo,,,10.583063005782796,62530.0,,
15,Campo Grande,205.2540577690179,3193.7011279999997,15.559746602398588,96756.0,0.03300778378601844,12.221847376618873
16,Campo Limpo,103.6801239879538,1561.208155,15.057931018498692,216098.0,0.007224537732880452,7.354565946173672
17,Cangaiba,68.10141344869807,1119.314505,16.43599520651944,151538.0,0.00738636186963006,15.296509043967259
18,Capao Redondo,15.151120824469057,250.24742199999997,16.516759710334462,275230.0,0.0009092301783962503,10.389358696619745
19,Carrao,,,9.30710145290869,71363.0,,
20,Casa Verde,22.458124259829624,191.97103,8.547954752542472,75687.0,0.0025363804880626792,17.473196815726325
21,Cidade Ademar,132.5514062012726,1942.2753079999998,14.652996627216107,248215.0,0.007824971528715025,15.101462548697139
22,Cidade Dutra,504.40797418514194,16761.074977,33.22920301582679,203473.0,0.08237493415342577,15.379397517678818
23,Cidade Lider,,,12.623628104730017,130255.0,,
24,Cidade Tiradentes,636.7847241021439,11359.597488,17.838991825717628,219868.0,0.05166553335637746,24.831471450091282
25,Consolacao,46.29931597827455,209.57093399999997,4.526436936959044,44991.0,0.004658063479362538,15.728917971312429
26,Cursino,,,14.421480141014332,92895.0,,
27,Ermelino Matarazzo,35.57933073244672,400.014764,11.242897372299499,116632.0,0.0034297170930790866,11.301635245579899
28,Freguesia do O,85.51577878035665,1127.324807,13.182652641163239,138101.0,0.008163045937393646,15.504111500736471
29,Grajau,251.992008098554,27989.253281999998,111.07198793008311,444593.0,0.06295477725020411,18.144770154936356
30,Guaianases,623.4119215769992,6626.800913000001,10.629891222222172,111325.0,0.05952661947451157,22.998949988955037
31,Iguatemi,2.106966171734913,49.11655,23.311503838505658,126645.0,0.0003878285759406214,21.46579380458757
32,Ipiranga,46.27513008178018,610.3501309999999,13.18959298269616,94787.0,0.006439175530399737,7.797391610499443
33,Itaim Bibi,89.1842583643338,1070.247929,12.000412949871087,80501.0,0.013294840175898437,9.983623156943752
34,Itaim Paulista,1036.828188056172,15132.311983000003,14.594811519707818,241026.0,0.06278290301876148,22.516097689603846
35,Itaquera,226.06133186187697,3971.2645379999994,17.567199597082947,199824.0,0.019873811644246935,16.857751001912575
36,Jabaquara,,,16.816674637741283,212504.0,,
37,Jacana,,,8.941898333394755,92836.0,,
38,Jaguara,20.444611027513947,110.723447,5.4157766489658625,24114.0,0.00459166654225761,2.993953219125653
39,Jaguare,217.1374849485736,1700.7982829999996,7.832817458500145,41628.0,0.04085707415681752,9.426560295971848
40,Jaragua,293.87301609980517,9869.068227,33.58276427682719,220292.0,0.0447999392942095,13.978687115528949
41,Jardim Angela,138.37573716492156,6092.471593000001,44.02846711297919,291798.0,0.020879072485075294,17.15796940164241
42,Jardim Helena,484.45078539794747,5284.134793000001,10.90747492267847,153634.0,0.034394305902339335,20.677772923895898
43,Jardim Paulista,,,7.476199202512599,76033.0,,
44,Jardim Sao Luis,143.32088848133054,4448.148418,31.03628832568555,261586.0,0.01700453547972751,13.796003299070362
45,Jose Bonifacio,520.9523806454013,8980.803032,17.239201442699613,108366.0,0.08287473037668641,23.350687242776026
46,Lajeado,1026.7003981441442,10923.786529999998,10.639702243951353,185184.0,0.05898882479047864,18.931205752458126
47,Lapa,145.30982711039422,1784.2653330000005,12.279041056490042,58924.0,0.0302807910698527,12.401742696167465
48,Liberdade,132.49203099203584,576.000087,4.347431937507424,57860.0,0.009955065451088835,6.252283913015107
49,Limao,50.20656292530668,384.424891,7.656865329975221,80571.0,0.004771256295689516,18.337915413995525
50,Mandaqui,,,15.761439324173441,101994.0,,
51,Marsilac,1.30797499777275,326.34768,249.50605367511793,10180.0,0.03205772888015717,34.5845557164163
52,Moema,,,10.892605151028084,71459.0,,
53,Mooca,87.49467328212488,829.6299560000001,9.482062448817592,63133.0,0.013140987375857319,7.0863806419257145
54,Morumbi,13.468772924382591,184.68241799999998,13.711896327665338,32281.0,0.005721087264954617,5.918075357970724
55,Parelheiros,71.10525481921061,12928.955292000006,181.82840810953638,146212.0,0.08842608877520317,26.230255729908865
56,Pari,,,3.250485599318113,16144.0,,
57,Parque do Carmo,11.288919626877686,210.22376699999998,18.62213337930763,69630.0,0.003019155062473072,18.99114852073401
58,Pedreira,225.66696849467274,4994.956630000001,22.134194753087733,158656.0,0.03148293559651069,13.526931565377849
