,NomeDistri,densidade_area,FE_VIA,area,Populacao,densidade_pop
0,Agua Rasa,132.37465768106756,1129.2400699999998,8.530636375435973,78.556,14.374969066653087
1,Alto de Pinheiros,158.91809774241787,1423.9122680000003,8.960038461496978,39.477,36.06941429186616
2,Anhanguera,6.898130200545664,274.29405499999996,39.7635369332841,53.266,5.1495147936770165
3,Aricanduva,31.248865904985323,255.868811,8.188099106636049,92.982,2.751810146049773
4,Artur Alvim,632.0983539068154,4922.562163,7.787652242052332,104.864,46.942345924244734
5,Barra Funda,363.59600744042154,2556.6202610000005,7.031486068831286,12.977,197.01165608384068
6,Bela Vista,3189.2129553623636,10526.785162999993,3.3007470213929073,57.204,184.02183698692386
7,Belem,567.9611131141914,4155.441322000001,7.316418723132773,36.283,114.52860353333519
8,Bom Retiro,786.7936496638746,4009.1117289999997,5.095505957264308,28.591,140.2228578573677
9,Bras,1269.743491643933,5521.194437,4.348275437782891,26.587,207.66519114604884
10,Brasilandia,20.109230941061288,504.36352899999997,25.081194327035842,280.069,1.8008545358465233
11,Butanta,153.58813385887663,2366.9775820000004,15.411200869039016,48.04,49.27097381348877
12,Cachoeirinha,134.90542601579415,2183.2802840000004,16.183784066212365,157.408,13.870198998780243
13,Cambuci,607.4301430642168,2856.3785559999997,4.702398438099945,29.811,95.81626097749152
14,Campo Belo,189.52816334023498,2005.788494,10.583063005782796,62.53,32.0772188389573
15,Campo Grande,52.48337976623051,816.62809,15.559746602398588,96.756,8.440076997808921
16,Campo Limpo,107.94106301876612,1625.3690810000003,15.057931018498692,216.098,7.521444349322993
17,Cangaiba,63.7831455794152,1048.3394749999998,16.43599520651944,151.538,6.917997301007006
18,Capao Redondo,206.2852843265712,3407.1644730000003,16.516759710334462,275.23,12.379335366784144
19,Carrao,172.60572941298963,1606.4590349999999,9.30710145290869,71.363,22.511091672155036
20,Casa Verde,168.7054944425239,1442.0869329999998,8.547954752542472,75.687,19.05329756761399
21,Cidade Ademar,114.10685510528651,1672.0073630000002,14.652996627216107,248.215,6.736125387265073
22,Cidade Dutra,91.38236549199542,3036.5631750000002,33.22920301582679,203.473,14.923666407828065
23,Cidade Lider,77.47804132739998,978.0539800000001,12.623628104730017,130.255,7.5087634255882705
24,Cidade Tiradentes,29.950412737436565,534.285168,17.838991825717628,219.868,2.4300269616315244
25,Consolacao,1405.7268276612187,6362.933836000001,4.526436936959044,44.991,141.4268150518993
26,Cursino,321.4828615832986,4636.258704,14.421480141014332,92.895,49.908592539964474
27,Ermelino Matarazzo,34.721091376480196,390.365667,11.242897372299499,116.632,3.3469859644008504
28,Freguesia do O,112.52231909442996,1483.342647,13.182652641163239,138.101,10.740998595231027
29,Grajau,9.769684978385964,1085.138332,111.07198793008311,444.593,2.4407454278407443
30,Guaianases,38.345118823783274,407.604442,10.629891222222172,111.325,3.6613917987873346
31,Iguatemi,47.80316931588547,1114.363765,23.311503838505658,126.645,8.799113782620712
32,Ipiranga,211.04267884929038,2783.567036,13.18959298269616,94.787,29.366548535136673
33,Itaim Bibi,110.97152386029397,1331.7041120000001,12.000412949871087,80.501,16.542702724189763
34,Itaim Paulista,182.22732786981848,2659.5735040000004,14.594811519707818,241.026,11.034384273895764
35,Itaquera,379.23605257529204,6662.115429999998,17.567199597082947,199.824,33.33991627632315
36,Jabaquara,535.9283315010081,9012.532380000004,16.816674637741283,212.504,42.411118755411685
37,Jacana,68.47306278504183,612.279166,8.941898333394755,92.836,6.595277327760783
38,Jaguara,80.08718030918449,433.73428099999995,5.4157766489658625,24.114,17.986824292941858
39,Jaguare,70.09020941809682,549.003816,7.832817458500145,41.628,13.188330354569041
40,Jaragua,55.42049426479905,1861.1733949999998,33.58276427682719,220.292,8.448665385034408
41,Jardim Angela,46.11462524439033,2030.356261,44.02846711297919,291.798,6.958088338508146
42,Jardim Helena,29.695959632833173,323.90793499999995,10.90747492267847,153.634,2.1083089355220848
43,Jardim Paulista,2539.3577889978656,18984.744677,7.476199202512599,76.033,249.69085366880168
44,Jardim Sao Luis,77.66021238452198,2410.284743,31.03628832568555,261.586,9.21411980381213
45,Jose Bonifacio,151.77018313153832,2616.39676,17.239201442699613,108.366,24.144074340660357
46,Lajeado,101.6881238020618,1081.931359,10.639702243951353,185.184,5.842466730387074
47,Lapa,141.05851866050438,1732.0633420000001,12.279041056490042,58.924,29.39487037539882
48,Liberdade,2045.7922651456838,8893.942631000002,4.347431937507424,57.86,153.71487436916698
49,Limao,223.9780813809285,1714.970006,7.656865329975221,80.571,21.285201946109645
50,Mandaqui,47.50804831964598,748.7952210000001,15.761439324173441,101.994,7.341561474204366
51,Marsilac,,,249.50605367511793,10.18,
52,Moema,727.0747672564361,7919.738355,10.892605151028084,71.459,110.82912376327684
53,Mooca,343.1370293712554,3253.646741,9.482062448817592,63.133,51.53638732517067
54,Morumbi,40.237676380823494,551.734847,13.711896327665338,32.281,17.091628109414206
55,Parelheiros,,,181.82840810953638,146.212,
56,Pari,193.57979777913783,629.228345,3.250485599318113,16.144,38.97598767343905
57,Parque do Carmo,67.31540079037964,1253.556372,18.62213337930763,69.63,18.003107453683757
58,Pedreira,13.487041807037304,298.52481,22.134194753087733,158.656,1.8815853796893909
59,Penha,315.99307115441485,4316.160821,13.659036273269557,117.691,36.673669362992925
60,Perdizes,611.3764337160399,4615.298581000002,7.549029250191259,97.706,47.23659325936996
61,Perus,6.618474358114715,186.613981,28.195921129647974,85.002,2.1954069433660384
62,Pinheiros,590.4317742873668,5838.624998000001,9.88873778862434,61.711,94.61238673818283
