,NomeDistri,densidade_area,FE_VIA,area,Populacao,densidade_pop
0,Agua Rasa,38.32119417741481,326.904173,8.530636375435973,78556.0,0.004161415716176995
1,Alto de Pinheiros,44.487511154433506,398.60981100000004,8.960038461496978,39477.0,0.010097267041568509
2,Anhanguera,3.1761574231160625,126.295253,39.7635369332841,53266.0,0.0023710294183907185
3,Aricanduva,146.52194244054436,1199.7361859999999,8.188099106636049,92982.0,0.01290288642963154
4,Artur Alvim,85.20146372446881,663.51937,7.787652242052332,104864.0,0.006327427620537077
5,Barra Funda,42.42492640671371,298.310279,7.031486068831286,12977.0,0.0229876149341142
6,Bela Vista,354.65462497213707,1170.625197,3.3007470213929073,57204.0,0.020464044419970632
7,Belem,24.477394306830742,179.086866,7.316418723132773,36283.0,0.004935834026954772
8,Bom Retiro,70.72925672595886,360.401349,5.095505957264308,28591.0,0.012605412507432408
9,Bras,205.84090240069332,895.05294,4.348275437782891,26587.0,0.03366505961560161
10,Brasilandia,135.61471485963258,3401.379017,25.081194327035842,280069.0,0.012144789380474098
11,Butanta,63.046134123913106,971.616637,15.411200869039016,48040.0,0.020225158971690256
12,Cachoeirinha,97.95706186600313,1585.3159370000003,16.183784066212365,157408.0,0.010071380978095143
13,Cambuci,90.47265573095567,425.438475,4.702398438099945,29811.0,0.01427119100332092
14,Campo Belo,81.28631696985435,860.258214,10.583063005782796,62530.0,0.013757527810650887
15,Campo Grande,45.94774267659283,714.9352329999999,15.559746602398588,96756.0,0.007389053216338004
16,Campo Limpo,214.16847633570393,3224.9341429999995,15.057931018498692,216098.0,0.014923479823968753
17,Cangaiba,43.66781183504546,717.7239460000001,16.43599520651944,151538.0,0.004736263815016696
18,Capao Redondo,152.30311006014267,2515.553872,16.516759710334462,275230.0,0.00913982440867638
19,Carrao,45.90689315699584,427.260112,9.30710145290869,71363.0,0.005987137760464106
20,Casa Verde,67.87422720358127,580.185823,8.547954752542472,75687.0,0.007665594131092526
21,Cidade Ademar,116.85670232255535,1712.3008650000002,14.652996627216107,248215.0,0.00689845845335697
22,Cidade Dutra,89.9818759293106,2990.026023,33.22920301582679,203473.0,0.014694952268851395
23,Cidade Lider,155.6438517278406,1964.790101,12.623628104730017,130255.0,0.015084181804921116
24,Cidade Tiradentes,104.44288944143001,1863.155851,17.838991825717628,219868.0,0.008473974616588135
25,Consolacao,165.32128259423732,748.3163600000001,4.526436936959044,44991.0,0.016632578960236497
26,Cursino,64.09657489810091,924.367482,14.421480141014332,92895.0,0.009950669917648959
27,Ermelino Matarazzo,46.29003287731302,520.434089,11.242897372299499,116632.0,0.0044621895277453865
28,Freguesia do O,123.05860073521997,1622.238788,13.182652641163239,138101.0,0.01174675627258311
29,Grajau,29.049620116919662,3226.599055,111.07198793008311,444593.0,0.00725742208041962
30,Guaianases,46.5643252270766,494.97371200000003,10.629891222222172,111325.0,0.0044462044644060185
31,Iguatemi,44.28128696248759,1032.263391,23.311503838505658,126645.0,0.008150842046665876
32,Ipiranga,120.92193520242922,1594.9111080000002,13.18959298269616,94787.0,0.016826264234546934
33,Itaim Bibi,63.54335514830692,762.546502,12.000412949871087,80501.0,0.009472509683109528
34,Itaim Paulista,38.29374844925635,558.890041,14.594811519707818,241026.0,0.0023187956527511554
35,Itaquera,118.33673406575254,2078.845027,17.567199597082947,199824.0,0.010403380109496357
36,Jabaquara,87.8325280008146,1477.051046,16.816674637741283,212504.0,0.006950697615103716
37,Jacana,101.9602223160001,911.717942,8.941898333394755,92836.0,0.009820737020121505
38,Jaguara,72.19436903378556,390.988578,5.4157766489658625,24114.0,0.01621417342622543
39,Jaguare,172.78538752761295,1353.3963999999999,7.832817458500145,41628.0,0.032511684443163255
40,Jaragua,101.54141266902795,3410.041326,33.58276427682719,220292.0,0.015479642138616018
41,Jardim Angela,48.878051749514626,2152.025694,44.02846711297919,291798.0,0.00737505292702486
