,NomeDistri,densidade_area,FE_VIA,area,Populacao,densidade_pop,DISTANCE
0,Agua Rasa,,,8.530636375435973,78556.0,,
1,Alto de Pinheiros,27.59762249488011,247.275759,8.960038461496978,39477.0,0.006263793069382172,4.204996057025343
2,Anhanguera,,,39.7635369332841,53266.0,,
3,Aricanduva,,,8.188099106636049,92982.0,,
4,Artur Alvim,,,7.787652242052332,104864.0,,
5,Barra Funda,6.371331545202972,44.799929000000006,7.031486068831286,12977.0,0.0034522562225475844,7.169192158495655
6,Bela Vista,,,3.3007470213929073,57204.0,,
7,Belem,,,7.316418723132773,36283.0,,
8,Bom Retiro,,,5.095505957264308,28591.0,,
9,Bras,7.063073726456392,30.712190000000003,4.348275437782891,26587.0,0.0011551581600030092,6.762859512927403
10,Brasilandia,,,25.081194327035842,280069.0,,
11,Butanta,,,15.411200869039016,48040.0,,
12,Cachoeirinha,,,16.183784066212365,157408.0,,
13,Cambuci,,,4.702398438099945,29811.0,,
14,Campo Belo,,,10.583063005782796,62530.0,,
15,Campo Grande,32.414701851394575,504.364547,15.559746602398588,96756.0,0.005212746982099302,15.867738403938793
16,Campo Limpo,,,15.057931018498692,216098.0,,
17,Cangaiba,,,16.43599520651944,151538.0,,
18,Capao Redondo,,,16.516759710334462,275230.0,,
19,Carrao,,,9.30710145290869,71363.0,,
20,Casa Verde,,,8.547954752542472,75687.0,,
21,Cidade Ademar,,,14.652996627216107,248215.0,,
22,Cidade Dutra,29.09286537927357,966.7327300000001,33.22920301582679,203473.0,0.004751159760754498,14.517337577468856
23,Cidade Lider,,,12.623628104730017,130255.0,,
24,Cidade Tiradentes,,,17.838991825717628,219868.0,,
25,Consolacao,,,4.526436936959044,44991.0,,
26,Cursino,,,14.421480141014332,92895.0,,
27,Ermelino Matarazzo,,,11.242897372299499,116632.0,,
28,Freguesia do O,39.19667619751566,516.716167,13.182652641163239,138101.0,0.003741581646765773,20.41648951819897
29,Grajau,10.784362027931012,1197.840529,111.07198793008311,444593.0,0.0026942406403159744,22.56917674449392
30,Guaianases,,,10.629891222222172,111325.0,,
31,Iguatemi,,,23.311503838505658,126645.0,,
32,Ipiranga,10.837951799387454,142.948173,13.18959298269616,94787.0,0.0015080989270680578,12.572367851329972
33,Itaim Bibi,,,12.000412949871087,80501.0,,
34,Itaim Paulista,,,14.594811519707818,241026.0,,
35,Itaquera,,,17.567199597082947,199824.0,,
36,Jabaquara,,,16.816674637741283,212504.0,,
37,Jacana,,,8.941898333394755,92836.0,,
38,Jaguara,,,5.4157766489658625,24114.0,,
39,Jaguare,,,7.832817458500145,41628.0,,
40,Jaragua,,,33.58276427682719,220292.0,,
41,Jardim Angela,,,44.02846711297919,291798.0,,
42,Jardim Helena,101.58396630334956,1108.024565,10.90747492267847,153634.0,0.0072121051655232565,22.096853422225013
43,Jardim Paulista,,,7.476199202512599,76033.0,,
44,Jardim Sao Luis,,,31.03628832568555,261586.0,,
45,Jose Bonifacio,9.575927663975872,165.081346,17.239201442699613,108366.0,0.001523368455050477,20.400286148733553
46,Lajeado,,,10.639702243951353,185184.0,,
47,Lapa,9.342414319835452,114.715889,12.279041056490042,58924.0,0.001946844901907542,10.250767791293006
48,Liberdade,,,4.347431937507424,57860.0,,
49,Limao,,,7.656865329975221,80571.0,,
50,Mandaqui,,,15.761439324173441,101994.0,,
51,Marsilac,,,249.50605367511793,10180.0,,
52,Moema,,,10.892605151028084,71459.0,,
53,Mooca,,,9.482062448817592,63133.0,,
54,Morumbi,5.502684325855526,75.452237,13.711896327665338,32281.0,0.0023373574858275765,5.771469350999179
55,Parelheiros,,,181.82840810953638,146212.0,,
56,Pari,,,3.250485599318113,16144.0,,
57,Parque do Carmo,,,18.62213337930763,69630.0,,
58,Pedreira,19.657025288408306,435.092426,22.134194753087733,158656.0,0.0027423635160346914,13.440710337886244
59,Penha,,,13.659036273269557,117691.0,,
60,Perdizes,,,7.549029250191259,97706.0,,
61,Perus,,,28.195921129647974,85002.0,,
62,Pinheiros,,,9.88873778862434,61711.0,,
63,Pirituba,,,20.363607217110623,163696.0,,
64,Ponte Rasa,,,7.831860371468282,93631.0,,
65,Raposo Tavares,,,14.550879866157578,96914.0,,
66,Republica,,,2.778711088782415,42802.0,,
67,Rio Pequeno,,,11.666174562058023,115999.0,,
68,Sacoma,,,17.487335314768842,237769.0,,
69,Santa Cecilia,,,4.42405829989715,63689.0,,
70,Santana,,,15.650859055062954,112613.0,,
71,Santo Amaro,8.270511490758599,157.792508,19.078929782797115,60373.0,0.002613627084955195,12.055005490677718
72,Sao Domingos,,,11.842061655421421,90777.0,,
73,Sao Lucas,67.14850633277706,776.3602139999999,11.56183892092082,136175.0,0.005701194888929686,24.882121312882013
74,Sao Mateus,,,15.266396656100863,158533.0,,
75,Sao Miguel,11.264639242177532,116.51335300000001,10.343283126524447,93187.0,0.0012503176730659857,14.136338159225652
76,Sao Rafael,,,15.62366823588672,151017.0,,
77,Sapopemba,,,16.292888247539988,296042.0,,
78,Saude,,,11.053252288897164,111308.0,,
79,Se,,,2.6059398743750317,21564.0,,
80,Socorro,19.624691682665272,288.24363999999997,14.687804764576713,36691.0,0.007855976670028072,10.228144537586806
81,Tatuape,,,10.145592624621637,75481.0,,
82,Tremembe,,,68.8312615808439,185731.0,,
83,Tucuruvi,,,11.281793045553641,88566.0,,
84,Vila Andrade,,,12.330523628796813,99274.0,,
85,Vila Curuca,,,11.351944610070138,162486.0,,
86,Vila Formosa,,,8.965919335384507,89510.0,,
87,Vila Guilherme,6.986970423176997,60.361923,8.63921261205987,48407.0,0.0012469668229801475,9.019010467860012
88,Vila Jacui,27.880759212219843,273.483802,9.809051465145718,167965.0,0.0016282189860982945,25.696459298054684
89,Vila Leopoldina,,,8.351856224843651,30188.0,,
90,Vila Maria,,,14.08638386100217,107395.0,,
91,Vila Mariana,,,10.19450665769846,112952.0,,
92,Vila Matilde,,,10.635726897475474,98173.0,,
93,Vila Medeiros,,,9.406348257865043,128692.0,,
94,Vila Prudente,,,11.459664001864397,96441.0,,
95,Vila Sonia,,,12.043160303370252,89927.0,,
